canonical_smiles,pIC50
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)C1(c2ccccc2)CC1,5.0
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)CC(F)(F)F,6.886056647693163
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)CCc1ccccc1,6.292429823902063
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccc(C#N)cc1F,8.986202438280591
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccccc1,8.096910013008056
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccncc1,8.221848749616356
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2ccc([C@@H](O)C(F)F)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccccc1,8.096910013008056
CC(C)(F)C[C@H](N[C@@H](c1ccc(-c2cn[nH]c2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccccc1,7.481486060122113
CC(C)/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,5.0
CC(C)/N=c1\cc2n(-c3ccc(Cl)cc3)c3ccccc3nc-2cc1Nc1ccc(Cl)cc1,4.809894379144197
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=C(C)C(=O)c2ccccc2C1=O,4.221848749616356
CC(C)=CCC/C(C)=C\Cc1c(O)cc(O)c(C(=O)CCc2ccc(O)cc2)c1O,5.1487416512809245
CC(C)=CCC1=C(O)c2ccccc2/C(=N/NC(=O)c2ccncc2)C1=O,4.481486060122113
CC(C)=CCC1=C(O)c2ccccc2/C(=N/NC(N)=S)C1=O,4.468521082957745
CC(C)=CCc1cc(CCC(=O)c2c(O)cc3c(c2O)CCC(C)(C)O3)ccc1O,4.920818753952375
CC(C)C(NC(=O)c1ccco1)C(=O)NCC(c1ccco1)N1CCCCC1,5.154901959985743
CC(C)CC(=O)c1ccc(OC(F)F)c(OC2CCCC2)c1,5.494850021680094
CC(C)CC(NC(=O)c1ccc(-c2ccccc2)o1)C(=O)NC1(C#N)CC1,4.518557371497695
CC(C)CCNCC(P(=O)(O)O)P(=O)(O)O,5.104569018437284
CC(C)CNCC(P(=O)(O)O)P(=O)(O)O,5.872497092660581
CC(C)CNc1nc(C#N)nc(Nc2ccccc2)n1,6.050609993355088
CC(C)C[C@@H]1N[C@@H](C(=O)Nc2ccccc2)CCCCC[C@@H](/C=C/S(=O)(=O)c2ccccc2)NC1=O,5.698970004336019
CC(C)C[C@@H]1N[C@@H](C(=O)Nc2ccccc2)CCCC[C@@H](/C=C/S(=O)(=O)c2ccccc2)NC1=O,5.0
CC(C)C[C@H](NC(=O)[C@@H]1O[C@H]1C(=O)O)C(=O)NCCCCN=C(N)N,6.537860356969059
CC(C)C[C@H](NC(=O)[C@H]1O[C@@H]1C(=O)O)C(=O)NCCCCN=C(N)N,7.048455006504028
CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(N3CCNCC3)cc2)cc1)C(F)(F)F)C(=O)NCC#N,8.744727494896694
CC(C)C[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccccc1,9.69897000433602
CC(C)NCC(P(=O)(O)O)P(=O)(O)O,5.986398814368799
CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1.CS(=O)(=O)O,3.806305086830635
CC(C)Nc1nc(C#N)nc(Nc2ccccc2)n1,6.050609993355088
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,3.757850080326607
CC(C)Oc1ccccc1/C=C(\CC(=O)O)c1nc2ccccc2s1,3.6807553715226815
CC(C)[C@H](NC(=O)OC(C)(C)C)c1nnc(S(=O)(=O)Cc2c(F)cccc2Cl)o1,6.0
CC(C)[C@H](N[C@@H](c1ccc(-c2ccc(C3(C(N)=O)CC3)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccc(C#N)cc1F,9.69897000433602
CC(C)[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccc(C#N)cc1F,9.69897000433602
CC(C)[C@H](N[C@@H](c1ccc(-c2ccc(S(C)(=O)=O)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccccc1,8.698970004336019
CC(C)[C@H](N[C@@H](c1ccc(-c2ccc([C@@H](O)C(F)F)cc2)cc1)C(F)(F)F)C(=O)N[C@H](C#N)Cc1ccc(C#N)cc1F,9.397940008672036
CC(C)[C@](C)(NCc1ccc2ncccc2c1)c1cn(C(CCS(C)(=O)=O)C(=O)COc2c(F)c(F)cc(F)c2F)nn1,6.251811972993799
CC(C)[C@](C)(NCc1ccc2ncsc2c1)c1cn(C(CCS(C)(=O)=O)C(=O)COc2c(F)c(F)cc(F)c2F)nn1,6.903089986991944
CC(C)[C@](C)(NCc1ccc2occc2c1)c1cn(C(CCS(C)(=O)=O)C(=O)COc2c(F)c(F)cc(F)c2F)nn1,6.055517327849832
CC(C)[C@](C)(NCc1ccn2nccc2n1)c1cn(C(CCS(C)(=O)=O)C(=O)COc2c(F)c(F)cc(F)c2F)nn1,6.330683119433888
CC(CN(C)C)CN1c2ccccc2Sc2ccccc21,3.603800652904264
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,3.567030709125594
CC(NC(=O)c1ccccc1Cl)C(=O)OC(C(=O)Nc1cc(C(F)(F)F)ccc1Cl)c1ccccc1,4.958607314841775
CC(NC(=O)c1nnc(-c2ccccc2N)o1)C12CC3CC(CC(C3)C1)C2,4.7447274948966935
CC(NS(=O)(=O)c1ccccc1)C(=O)Nc1ccccc1Sc1ccccc1,4.0
CC/C(=N\N=C(/S)NC(C)C)c1cccc(Br)c1,5.0
CC/C(=N\N=C(/S)NC)c1cccc(Br)c1,5.0
CC/C(=N\N=C(/S)NCCN1CCNCC1)c1cccc(Br)c1,5.0
CC/C(=N\N=C(/S)NCc1ccco1)c1cccc(Br)c1,5.0
CC/C(=N\N=C(/S)Nc1ccc(C(F)(F)F)cc1)c1cccc(Br)c1,5.3979400086720375
CC/C(=N\N=C(/S)Nc1ccccc1)c1cccc(Br)c1,5.0
CC/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.698970004336019
CC/C(=N\N=C(\N)S)c1ccc(Br)cc1,5.0
CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,7.520094452771488
CC/C(=N\N=C(\N)S)c1ccc(Cl)cc1,5.0
CC/C(=N\N=C(\N)S)c1ccc(Cl)cc1Cl,5.0
CC/C(=N\N=C(\N)S)c1ccc(OC)cc1,5.0
CC/C(=N\N=C(\N)S)c1ccc2cc(OC)ccc2c1,5.0
CC/C(=N\N=C(\N)S)c1cccc(Br)c1,6.969229586014399
CC/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,7.301029995663981
CC/C(=N\N=C(\N)S)c1cccc(Cl)c1,6.079318341630633
CC/C(=N\N=C(\N)S)c1cccc(F)c1,5.0
CC/C(=N\N=C(\N)S)c1ccccc1,5.0
CC/C(=N\NC(N)=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,5.0
CC/C(=N\NC(N)=O)c1ccc(Cl)c(Cl)c1,5.0
CC/C(=N\NC(N)=O)c1cccc(Br)c1,5.0
CC/C(=N\NC(N)=O)c1cccc(C(F)(F)F)c1,5.0
CC/C(=N\NC(N)=O)c1cccc(Cl)c1,5.0
CC/C(=N\NC(N)=S)c1cccc(N)c1,5.438898616350944
CC/C(=N\NC(N)=S)c1cccc(O)c1,4.481486060122113
CC/C(=N\NC(N)=S)c1cccc([N+](=O)[O-])c1,6.102901728077988
CC/C(=N\Nc1nc(-c2ccc(Br)cc2)c(C)s1)c1cccc(Br)c1,5.42021640338319
CC/C(=N\Nc1nc(-c2ccc(C)cc2)cs1)c1cccc(Br)c1,4.716698771296451
CC/C(=N\Nc1nc(-c2ccc(Cl)c(Cl)c2)cs1)c1cccc(Br)c1,4.94692155651658
CC/C(=N\Nc1nc(-c2ccc(Cl)cc2)cs1)c1cccc(Br)c1,4.485452247339714
CC/C(=N\Nc1nc(-c2ccc(Cl)cc2Cl)cs1)c1cccc(Br)c1,4.82102305270683
CC/C(=N\Nc1nc(-c2ccc(F)cc2)cs1)c1cccc(Br)c1,4.782516055786093
CC/C(=N\Nc1nc(-c2ccc3ccccc3c2)cs1)c1cccc(Br)c1,5.022276394711152
CC/C(=N\Nc1nc(-c2cccc([N+](=O)[O-])c2)cs1)c1cccc(Br)c1,4.835647144215563
CC/C(=N\Nc1nc(-c2ccccc2)c(C)s1)c1cccc(Br)c1,6.292429823902063
CC/C(=N\Nc1nc(-c2ccccc2)cs1)c1cccc(Br)c1,4.350665141287858
CC/N=C(\S)N/N=C(\CC)c1cccc(Br)c1,5.0
CC/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,5.0
CC1(C)CCc2c(cc(O)c(C(=O)CCc3ccc4c(c3)CC3C(C)(C)CCCC3(C)O4)c2O)O1,5.060480747381382
CC1(C)CCc2cc(CCC(=O)c3c(O)cc4c(c3O)CCC(C)(C)O4)ccc2O1,4.665546248849069
CC12CN3CC(C)(C1)C[N+](Cc1cccc(Br)c1)(C3)C2,4.0
CC1=C(CCC(=O)N2CCN(C)CC2)C(=O)c2c(O)cccc2C1=O,4.301029995663981
CC1=C(CCC(=O)N2CCN(C)CC2)C(=O)c2ccccc2C1=O,4.301029995663981
CC1=C(CCC(=O)NCCCCNCCCNC(=O)CCC2=C(C)C(=O)c3cccc(O)c3C2=O)C(=O)c2c(O)cccc2C1=O,5.537602002101044
CC1=C(CCC(=O)NCCCCNCCCNC(=O)CCC2=C(C)C(=O)c3ccccc3C2=O)C(=O)c2ccccc2C1=O,5.568636235841013
CC1=C(CCC(=O)NCCCN2CCN(C)CC2)C(=O)c2c(O)cccc2C1=O,4.795880017344075
CC1=C(CCC(=O)NCCCN2CCN(C)CC2)C(=O)c2ccccc2C1=O,4.42021640338319
CC1=C(CCC(=O)NCCCN2CCN(CCCNC(=O)CCC3=C(C)C(=O)c4cccc(O)c4C3=O)CC2)C(=O)c2c(O)cccc2C1=O,5.585026652029182
CC1=C(CCC(=O)NCCCN2CCN(CCCNC(=O)CCC3=C(C)C(=O)c4ccccc4C3=O)CC2)C(=O)c2ccccc2C1=O,5.431798275933005
CC1=C(CCC(=O)NCCCNCCCNC(=O)CCC2=C(C)C(=O)c3cccc(O)c3C2=O)C(=O)c2c(O)cccc2C1=O,5.721246399047171
CC1=C(CCC(=O)NCCCNCCCNC(=O)CCC2=C(C)C(=O)c3ccccc3C2=O)C(=O)c2ccccc2C1=O,5.301029995663981
CC1=C(CCC(=O)O)C(=O)c2c(O)cccc2C1=O,4.301029995663981
CC1=C(CCC(=O)O)C(=O)c2ccccc2C1=O,4.301029995663981
CC1=C(CCCC(=O)N2CCN(C)CC2)C(=O)c2c(O)cccc2C1=O,4.376750709602099
CC1=C(CCCC(=O)NCCCCNCCCNC(=O)CCCC2=C(C)C(=O)c3cccc(O)c3C2=O)C(=O)c2c(O)cccc2C1=O,5.638272163982407
CC1=C(CCCC(=O)NCCCCNCCCNC(=O)CCCC2=C(C)C(=O)c3ccccc3C2=O)C(=O)c2ccccc2C1=O,5.3979400086720375
CC1=C(CCCC(=O)NCCCN2CCN(C)CC2)C(=O)c2c(O)cccc2C1=O,4.494850021680094
